LEFT,RIGHT
-0.218651, -0.031343
-0.218564, -0.030374
-0.220477, -0.029406
-0.223389, -0.029438
-0.223299, -0.029470
-0.224210, -0.029501
-0.226120, -0.031533
-0.227029, -0.032563
-0.229937, -0.033593
-0.230845, -0.033623
-0.230752, -0.033653
-0.231658, -0.033682
-0.231565, -0.033712
-0.232471, -0.033741
-0.232377, -0.031771
-0.232283, -0.029802
-0.233189, -0.027834
-0.235094, -0.028866
-0.240997, -0.029898
-0.242898, -0.027930
-0.242799, -0.027962
-0.242699, -0.028994
-0.243600, -0.029026
-0.244500, -0.029058
-0.243400, -0.029089
-0.243300, -0.029121
-0.244200, -0.029153
-0.244099, -0.029184
-0.245998, -0.030215
-0.246897, -0.030246
-0.246795, -0.031277
-0.247693, -0.031308
-0.247591, -0.030338
-0.249488, -0.030369
-0.249385, -0.030400
-0.249281, -0.030431
-0.250178, -0.030462
-0.250074, -0.030493
-0.251970, -0.029524
-0.252865, -0.029555
-0.253759, -0.029586
-0.255653, -0.029617
-0.255547, -0.029648
-0.255440, -0.030679
-0.254333, -0.030710
-0.254227, -0.030740
-0.255121, -0.030771
-0.255014, -0.030801
-0.255907, -0.030832
-0.256800, -0.030862
-0.256692, -0.030893
-0.261583, -0.029923
-0.262473, -0.028954
-0.259363, -0.028986
-0.259254, -0.029017
-0.259145, -0.029048
-0.259036, -0.029079
-0.259926, -0.029110
-0.260816, -0.029142
-0.260706, -0.030172
-0.260596, -0.031203
-0.260486, -0.032233
-0.260376, -0.033262
-0.260266, -0.033291
-0.260156, -0.033320
-0.261045, -0.033349
-0.262934, -0.033378
-0.262823, -0.033407
-0.263711, -0.033436
-0.265598, -0.033464
-0.266485, -0.034493
-0.266371, -0.035521
-0.267258, -0.035549
-0.269143, -0.033577
-0.269028, -0.033606
-0.269913, -0.033634
-0.269797, -0.032663
-0.269682, -0.032692
-0.270566, -0.032721
-0.270450, -0.032750
-0.271334, -0.032779
-0.271218, -0.032808
-0.272101, -0.032837
-0.274983, -0.032866
-0.275865, -0.030895
-0.278745, -0.028926
-0.280624, -0.028957
-0.280503, -0.032986
-0.280381, -0.035014
-0.283259, -0.035042
-0.292134, -0.039069
-0.298006, -0.042094
-0.301875, -0.043118
-0.305742, -0.043141
-0.305608, -0.045164
-0.306473, -0.047186
-0.308338, -0.049208
-0.310202, -0.052227
-0.314065, -0.056245
-0.316926, -0.060261
-0.317786, -0.062276
-0.317645, -0.063290
-0.319504, -0.063303
-0.321362, -0.064317
-0.321220, -0.065329
-0.325077, -0.064342
-0.324932, -0.063355
-0.324788, -0.064368
-0.329643, -0.065381
-0.332495, -0.066393
-0.332347, -0.066405
-0.332199, -0.066417
-0.332051, -0.067428
-0.332902, -0.067439
-0.332754, -0.066451
-0.334604, -0.066462
-0.336454, -0.068474
-0.336304, -0.070484
-0.338152, -0.070493
-0.342000, -0.070503
-0.345845, -0.071512
-0.346690, -0.069522
-0.346534, -0.068532
-0.349377, -0.068542
-0.351219, -0.069553
-0.352060, -0.070562
-0.351901, -0.070572
-0.350743, -0.071581
-0.351584, -0.071589
-0.351425, -0.071598
-0.353266, -0.072607
-0.355105, -0.074615
-0.354944, -0.075621
-0.354783, -0.074628
-0.354622, -0.074636
-0.355461, -0.074643
-0.355300, -0.074650
-0.355139, -0.074657
-0.354977, -0.074664
-0.353816, -0.071672
-0.353655, -0.070680
-0.353494, -0.070689
-0.354333, -0.070698
-0.354172, -0.068708
-0.354010, -0.066718
-0.354849, -0.066729
-0.354687, -0.065740
-0.356525, -0.065751
-0.356362, -0.065762
-0.356199, -0.065773
-0.357036, -0.064784
-0.356872, -0.064796
-0.356709, -0.064807
-0.356546, -0.063819
-0.356382, -0.063831
-0.356219, -0.063843
-0.355056, -0.062855
-0.354893, -0.063867
-0.354730, -0.063879
-0.354568, -0.063891
-0.355404, -0.063902
-0.355241, -0.064914
-0.371074, -0.074923
-0.384899, -0.082927
-0.382722, -0.082929
-0.382545, -0.082931
-0.383368, -0.079934
-0.387189, -0.079938
-0.387010, -0.080941
-0.387830, -0.079945
-0.388650, -0.078949
-0.387470, -0.078953
-0.387290, -0.078957
-0.386110, -0.078961
-0.384931, -0.078965
-0.386751, -0.078968
-0.386571, -0.078972
-0.386391, -0.079976
-0.386212, -0.079979
-0.386032, -0.079983
-0.387851, -0.078986
-0.388670, -0.077990
-0.390488, -0.076994
-0.391306, -0.075999
-0.391123, -0.076004
-0.390940, -0.076010
-0.390757, -0.076015
-0.392574, -0.076020
-0.393390, -0.076025
-0.393205, -0.076029
-0.392021, -0.076034
-0.391837, -0.076039
-0.392653, -0.076044
-0.393469, -0.074049
-0.396283, -0.074055
-0.397097, -0.075061
-0.396910, -0.075066
-0.399722, -0.075071
-0.401534, -0.075076
-0.402344, -0.075081
-0.403154, -0.075086
-0.404964, -0.075092
-0.405772, -0.076096
-0.405580, -0.076101
-0.406389, -0.076105
-0.407196, -0.076110
-0.407004, -0.076114
-0.407811, -0.076119
-0.407618, -0.076123
-0.408424, -0.076127
-0.409230, -0.076132
-0.409036, -0.076136
-0.409842, -0.076140
-0.409647, -0.076144
-0.409453, -0.076149
-0.409258, -0.076153
-0.408064, -0.076157
-0.406870, -0.075161
-0.406676, -0.075166
-0.407483, -0.075170
-0.407288, -0.075175
-0.407094, -0.075179
-0.406900, -0.074184
-0.406706, -0.074189
-0.406512, -0.074194
-0.406318, -0.074198
-0.406124, -0.074203
-0.407929, -0.074208
-0.408734, -0.074213
-0.407539, -0.074217
-0.407344, -0.073222
-0.409148, -0.073227
-0.409952, -0.073232
-0.410755, -0.074237
-0.418556, -0.079241
-0.425353, -0.085241
-0.425149, -0.087240
-0.424945, -0.087238
-0.424740, -0.088236
-0.425536, -0.088233
-0.426331, -0.088231
-0.428125, -0.088228
-0.429918, -0.088226
-0.430711, -0.088223
-0.432502, -0.088220
-0.434293, -0.088218
